                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4653,                 3.8144,                  2.646,                0.86253,                0.00024,                0.00856,                0.00257,                    nan,                    nan,                    nan,             0.00055552,             0.00055552,             0.00055552
                      2,                 1.6597,                 1.5171,                 1.8672,                0.95712,                0.00024,                 0.0248,                0.00248,                    nan,                    nan,                    nan,              0.0010745,              0.0010745,              0.0010745
                      3,                 1.5555,                  1.211,                 1.7435,                0.92664,                0.00048,                0.01957,                0.00391,                    nan,                    nan,                    nan,              0.0015568,              0.0015568,              0.0015568
                      4,                 1.4435,                 1.0788,                 1.6173,                0.14286,                0.00048,                0.07575,                0.03434,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                      5,                 1.4521,                  1.045,                 1.6384,                0.33955,                0.00048,                0.01895,                0.01067,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                      6,                  1.371,                 0.9688,                   1.56,                0.80478,                0.00048,                0.05217,                0.02944,                    nan,                    nan,                    nan,               0.001447,               0.001447,               0.001447
                      7,                 1.3564,                0.94035,                 1.5305,                0.72336,                0.00048,                 0.0333,                0.01482,                    nan,                    nan,                    nan,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.3462,                0.90132,                 1.5152,                 0.9276,                0.00024,                0.02207,                0.00662,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.3156,                0.86891,                 1.4873,                 0.7374,                0.00048,                0.02976,                0.01117,                    nan,                    nan,                    nan,              0.0012819,              0.0012819,              0.0012819
                     10,                    1.3,                0.86024,                 1.4703,                0.02899,                0.00048,                0.01935,                0.00802,                    nan,                    nan,                    nan,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.2694,                0.84112,                 1.4405,                0.37435,                0.00048,                0.05002,                0.02276,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.2672,                0.81637,                  1.449,                0.06897,                0.00048,                0.03915,                0.02178,                    nan,                    nan,                    nan,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.2316,                0.81123,                 1.4182,                 0.8999,                0.00048,                0.05217,                0.01851,                    nan,                    nan,                    nan,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.2142,                0.77644,                  1.392,                0.91489,                0.00048,                0.05713,                0.02285,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.2098,                0.76635,                 1.3937,                0.89889,                0.00048,                0.05002,                0.01776,                    nan,                    nan,                    nan,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.1909,                0.74062,                 1.3947,                0.87036,                0.00048,                0.08119,                0.02104,                    nan,                    nan,                    nan,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.1658,                0.70005,                 1.3606,                0.87726,                0.00048,                0.03915,                0.01395,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.1603,                0.71289,                 1.3557,                0.95743,                0.00048,                0.04627,                0.02107,                    nan,                    nan,                    nan,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.1554,                0.71573,                 1.3665,                0.95518,                0.00048,                0.08119,                0.02486,                    nan,                    nan,                    nan,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.1503,                0.70107,                 1.3562,                0.95153,                0.00048,                0.10405,                0.04757,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.1891,                 0.6705,                 1.4884,                0.80121,                0.00048,                0.03107,                0.01406,                    nan,                    nan,                    nan,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.1955,                0.64131,                 1.4904,                0.93556,                0.00048,                 0.0669,                0.01388,                    nan,                    nan,                    nan,             0.00056678,             0.00056678,             0.00056678
                     23,                  1.171,                 0.6335,                 1.4697,                0.63494,                0.00048,                0.04627,                0.01694,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.1441,                0.60328,                 1.4454,                0.85622,                0.00048,                0.11505,                0.06903,                    nan,                    nan,                    nan,             0.00045676,             0.00045676,             0.00045676
                     25,                  1.123,                0.59682,                 1.4312,                0.88543,                0.00048,                0.07103,                0.03882,                    nan,                    nan,                    nan,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.1188,                0.59481,                 1.4237,                0.60291,                0.00048,                0.07103,                0.02891,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.1089,                0.57919,                 1.4211,                0.62635,                0.00048,                0.09504,                0.04302,                    nan,                    nan,                    nan,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.0976,                0.57714,                 1.4101,                0.91964,                0.00048,                 0.0669,                0.03036,                    nan,                    nan,                    nan,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.0808,                0.56169,                 1.3923,                 0.8979,                0.00048,                0.06326,                0.02872,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.0723,                 0.5548,                 1.3873,                0.91919,                0.00048,                0.05713,                0.02025,                    nan,                    nan,                    nan,             0.00012669,             0.00012669,             0.00012669
